country,parameter,diagnostic_method,rhat,rhat_rank,bulk_ess,tail_ess,smc_particle_count,smc_stage_count,smc_final_temperature,smc_min_ess,smc_final_ess,smc_min_ess_fraction,smc_final_ess_fraction,smc_max_weight,smc_final_max_weight,smc_combined_particle_count,smc_combined_particle_ess,smc_combined_particle_ess_fraction,smc_combined_max_weight,smc_island_count,smc_island_ess,smc_island_ess_fraction,smc_max_island_weight,smc_log_evidence_sd,smc_log_evidence_range,smc_recommended_island_ess_floor,smc_unique_ancestor_fraction,smc_unique_particle_fraction,smc_move_acceptance_fraction,smc_reached_final_temperature,smc_fatal_ess_floor,smc_recommended_ess_floor,n_chains,total_draws,converged,recommended_converged,mean,sd
Australia,VE_sus,tempered_smc_rank_and_particle_quality,1.0075232451952025,1.0079491123005246,64.0,47.6288974904235,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.06990305116902862,0.029020306411226934
Australia,VE_inf,tempered_smc_rank_and_particle_quality,1.0023884910938816,1.000808374325142,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.2153608171020546,0.06423526112340712
Australia,VE_dur,tempered_smc_rank_and_particle_quality,1.0075189127899227,0.9978951421509358,60.28311675362302,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.07550671827665176,0.04175816149138103
Australia,relative_infectiousness_asymptomatic,tempered_smc_rank_and_particle_quality,1.014312711125728,1.0065235416564742,58.05431344896848,50.50380831855522,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.6774688684595278,0.04448725356729948
Australia,infectious_duration_symptomatic,tempered_smc_rank_and_particle_quality,1.0048120639687912,1.0042844560611557,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,27.076798245933478,2.1148912550270054
Australia,infectious_duration_asymptomatic,tempered_smc_rank_and_particle_quality,0.9931169489861711,0.9941898692047931,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,19.06446668425525,1.6332109309777318
Australia,fitness_R,tempered_smc_rank_and_particle_quality,1.0027662076612618,1.0087536259411976,63.77721582560209,50.17015097312416,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.7141772684557877,0.032956969803471695
Australia,beta_S,tempered_smc_rank_and_particle_quality,1.0029966421457466,1.0076710649076448,64.0,58.99703153427834,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.017238788426823862,0.01058133634675519
Australia,reporting_multiplier,tempered_smc_rank_and_particle_quality,1.004644999814038,0.9992828503302136,62.159434649842524,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,1.2608519678883918,0.13573986747421168
Australia,log_beta_process_2021,tempered_smc_rank_and_particle_quality,1.0006025383477735,1.0003350949558176,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.3574769656761756,0.07842707252753806
Australia,log_beta_process_2022,tempered_smc_rank_and_particle_quality,0.9972469644210886,1.005370542700034,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.392784373243136,0.04493006003625533
Australia,log_beta_process_2023,tempered_smc_rank_and_particle_quality,1.0038132122066652,1.01379725731607,64.0,63.64940103510351,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.06621742197767894,0.1340129971171859
Australia,log_beta_process_2024,tempered_smc_rank_and_particle_quality,1.0061887267437264,1.005512017581992,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.1133466040529818,0.06932712962106954
Australia,log_beta_process_2025,tempered_smc_rank_and_particle_quality,1.0046159071498704,1.00047766127344,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.21700470856012,0.2051175320192634
Australia,log_beta_process_2026,tempered_smc_rank_and_particle_quality,1.000661537460452,0.9911618963660451,50.97836723711497,51.86961424960245,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.36488321837506504,0.08282824838873248
Australia,log_beta_process_2027,tempered_smc_rank_and_particle_quality,0.9959190524991482,0.995625986187874,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.23742568718293994,0.6245530420986669
Australia,log_beta_process_2028,tempered_smc_rank_and_particle_quality,1.0061538090496915,1.0074020805657034,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.08708868629494602,0.6757451857391092
Australia,log_beta_process_2029,tempered_smc_rank_and_particle_quality,1.0037116438329738,1.0029628723198505,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.09328356224197415,0.6839159657351758
Australia,log_beta_process_2030,tempered_smc_rank_and_particle_quality,0.9924146613919063,0.9922012314792636,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.08618619398639889,0.7282180300753739
Australia,log_beta_process_2031,tempered_smc_rank_and_particle_quality,1.0074640077492043,1.0072866477331448,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.06074931308460155,0.7116782925515589
Australia,log_beta_process_2032,tempered_smc_rank_and_particle_quality,0.9876175613319982,0.9881379278882574,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.01532227263325199,0.6849110271292839
Australia,log_beta_process_2033,tempered_smc_rank_and_particle_quality,0.9991874714983299,0.999478333653507,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.007591476936240828,0.6712432996493439
Australia,log_beta_process_2034,tempered_smc_rank_and_particle_quality,0.9972459993576095,0.9960434783783155,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.016430051043656253,0.6810931061213947
Australia,log_beta_process_2035,tempered_smc_rank_and_particle_quality,0.9916755014882727,0.9919031344622884,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.024344996906691528,0.6464586909404305
Australia,log_beta_process_2036,tempered_smc_rank_and_particle_quality,0.9991179126673885,0.9989013362491064,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.02479072302750729,0.7175530162851136
Australia,log_beta_process_2037,tempered_smc_rank_and_particle_quality,0.9946619994333813,0.9943693968319031,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.007182529115742653,0.666361837243077
Australia,log_beta_process_2038,tempered_smc_rank_and_particle_quality,1.014233403130393,1.014885486178144,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.010575390668444984,0.6672244507356848
Australia,log_beta_process_2039,tempered_smc_rank_and_particle_quality,0.9971593896409919,0.9963680067419759,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.029998434480418612,0.7035944022635428
Australia,log_beta_process_2040,tempered_smc_rank_and_particle_quality,0.9979023676723326,0.998897846167975,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.015076111395301375,0.7193529082539828
Australia,log_beta_process_2041,tempered_smc_rank_and_particle_quality,1.0056438352562453,1.0055734642381065,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,-0.0027286094290619248,0.6962750896484389
Australia,log_beta_process_2042,tempered_smc_rank_and_particle_quality,1.006691405200887,1.0070604131421712,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.004357369935623922,0.7355018886886595
Australia,log_beta_process_2043,tempered_smc_rank_and_particle_quality,0.9951759722228454,0.9957676772233393,64.0,64.0,64,8,1.0,64.0,64.0,1.0,1.0,0.015625,0.015625,64,64.0,1.0,0.015625,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.1103515625,True,100.0,400.0,4,256,False,False,0.07052746165168347,0.6740249215993347
