country,optimization_constraint,preferred_strategy_primary_infant_cases,preferred_strategy_label,preferred_infant_cases_per_100k,preferred_infant_case_reduction,preferred_resistant_infection_reduction,secondary_resistance_preferred_strategy,secondary_resistance_preferred_label,non_dominated_strategy_labels,non_dominated_strategy_count
Australia,future_product_target,combined_strategy,Combined future stress-test profile,1473.722948966185,0.6369540462148533,0.2980704746917425,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Australia,program_only,timeliness_only,Routine timeliness,3003.899516835897,0.2600009615583093,0.027406025836660408,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
Australia,program_plus_resistance,timeliness_only,Routine timeliness,3003.899516835897,0.2600009615583093,0.027406025836660408,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
Brazil,future_product_target,combined_strategy,Combined future stress-test profile,45.80775944994346,0.9429588213268191,0.997140873540018,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Brazil,program_only,timeliness_only,Routine timeliness,536.4989578713114,0.33193560913290565,0.09218387464342681,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
Brazil,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,469.2377672907738,0.4156912355976281,0.5660279709440359,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
China,future_product_target,combined_strategy,Combined future stress-test profile,1432.1859854178765,0.6619361443476954,0.3374876300243146,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Nominal coverage floor; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,9
China,program_only,timeliness_only,Routine timeliness,2998.0117357867,0.292326962412504,-0.019559006159647563,higher_child_coverage,Nominal coverage floor,Current practice; Adolescent booster; Nominal coverage floor; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,8
China,program_plus_resistance,timeliness_only,Routine timeliness,2998.0117357867,0.292326962412504,-0.019559006159647563,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Nominal coverage floor; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,7
Japan,future_product_target,combined_strategy,Combined future stress-test profile,1199.6052973004155,0.6473696763806189,0.3466246083394777,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Japan,program_only,timeliness_only,Routine timeliness,2296.5670987278904,0.3249119514056029,0.024989010685735558,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
Japan,program_plus_resistance,timeliness_only,Routine timeliness,2296.5670987278904,0.3249119514056029,0.024989010685735558,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
New_Zealand,future_product_target,combined_strategy,Combined future stress-test profile,1012.6606998716144,0.6917971382096046,0.400698736563189,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
New_Zealand,program_only,timeliness_only,Routine timeliness,2155.8530079138573,0.34386703589591205,0.022844323859398386,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
New_Zealand,program_plus_resistance,timeliness_only,Routine timeliness,2155.8530079138573,0.34386703589591205,0.022844323859398386,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
Sweden,future_product_target,combined_strategy,Combined future stress-test profile,256.0995271006547,0.393335961141961,0.950452543160689,combined_strategy,Combined future stress-test profile,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,8
Sweden,program_only,maternal_immunization,Infant-exposure reduction,364.2845895671591,0.13706064629437265,0.6441941411793448,timeliness_only,Routine timeliness,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,6
Sweden,program_plus_resistance,maternal_immunization,Infant-exposure reduction,364.2845895671591,0.13706064629437265,0.6441941411793448,resistance_guided_treatment,Resistance-guided management,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; Infant-exposure reduction,6
Thailand,future_product_target,combined_strategy,Combined future stress-test profile,33.59836658582819,0.9632522023911394,0.9650942170306872,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Thailand,program_only,timeliness_only,Routine timeliness,602.626285519024,0.3408849588725732,0.15493548570893312,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
Thailand,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,471.1630294955563,0.4846712680376718,0.4960740311247176,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
United_Kingdom,future_product_target,combined_strategy,Combined future stress-test profile,494.544933708336,0.7871809751026136,0.61182520705943,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
United_Kingdom,program_only,timeliness_only,Routine timeliness,1453.5273694375317,0.3744991479221286,0.051705423684727525,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
United_Kingdom,program_plus_resistance,timeliness_only,Routine timeliness,1453.5273694375317,0.3744991479221286,0.051705423684727525,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
United_States,future_product_target,combined_strategy,Combined future stress-test profile,296.5837446692783,0.7861467549019803,0.6610848026766822,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
United_States,program_only,timeliness_only,Routine timeliness,1013.9147273164674,0.2689115348142659,0.04588675394563946,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
United_States,program_plus_resistance,timeliness_only,Routine timeliness,1013.9147273164674,0.2689115348142659,0.04588675394563946,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
