country,country_code,outcome,child_adolescent_population,analysis_years,total_child_adolescent_cases,total_child_adolescent_reported_cases,total_child_adolescent_infections,rate_per_100k
Australia,AUS,Symptomatic,5822475.509687493,26.013698630136982,1623910.937935674,229657.10621250165,7646861.400529966,1072.1423025667305
Australia,AUS,Reports,5822475.509687493,26.013698630136982,1623910.937935674,229657.10621250165,7646861.400529966,151.6247553381755
Australia,AUS,Infections,5822475.509687493,26.013698630136982,1623910.937935674,229657.10621250165,7646861.400529966,5048.628836625034
China,CHN,Symptomatic,182260037.301616,26.013698630136982,7319802.567598646,2657243.072897862,35050319.24376769,154.38525086572383
China,CHN,Reports,182260037.301616,26.013698630136982,7319802.567598646,2657243.072897862,35050319.24376769,56.04510977338117
China,CHN,Infections,182260037.301616,26.013698630136982,7319802.567598646,2657243.072897862,35050319.24376769,739.2620606088306
United_Kingdom,GBR,Symptomatic,13503249.337434093,26.013698630136982,3389242.331440914,666216.371066792,16050410.897626717,964.8553970789704
United_Kingdom,GBR,Reports,13503249.337434093,26.013698630136982,3389242.331440914,666216.371066792,16050410.897626717,189.65963433274985
United_Kingdom,GBR,Infections,13503249.337434093,26.013698630136982,3389242.331440914,666216.371066792,16050410.897626717,4569.258868346055
Japan,JPN,Symptomatic,14763192.755466374,26.013698630136982,1313797.4396218553,295647.6228971527,6408628.421360534,342.0944405222172
Japan,JPN,Reports,14763192.755466374,26.013698630136982,1313797.4396218553,295647.6228971527,6408628.421360534,76.982497527043
Japan,JPN,Infections,14763192.755466374,26.013698630136982,1313797.4396218553,295647.6228971527,6408628.421360534,1668.7170245598352
New_Zealand,NZL,Symptomatic,1074739.165568603,26.013698630136982,252717.46225124528,49357.58649586127,1207966.2292913264,903.920157885482
New_Zealand,NZL,Reports,1074739.165568603,26.013698630136982,252717.46225124528,49357.58649586127,1207966.2292913264,176.54228156909014
New_Zealand,NZL,Infections,1074739.165568603,26.013698630136982,252717.46225124528,49357.58649586127,1207966.2292913264,4320.655228865038
Sweden,SWE,Symptomatic,1947034.1647845767,26.013698630136982,237696.6998472851,40414.334197497454,1191735.5662580526,469.2966728957474
Sweden,SWE,Reports,1947034.1647845767,26.013698630136982,237696.6998472851,40414.334197497454,1191735.5662580526,79.79207363151369
Sweden,SWE,Infections,1947034.1647845767,26.013698630136982,237696.6998472851,40414.334197497454,1191735.5662580526,2352.9040856509873
United_States,USA,Symptomatic,71058768.9368492,26.013698630136982,7188724.620055913,1377984.1567471172,36058541.24877349,388.89473491693457
United_States,USA,Reports,71058768.9368492,26.013698630136982,7188724.620055913,1377984.1567471172,36058541.24877349,74.5460163911158
United_States,USA,Infections,71058768.9368492,26.013698630136982,7188724.620055913,1377984.1567471172,36058541.24877349,1950.6905023611891
Brazil,BRA,Symptomatic,43647764.77108485,26.013698630136982,4045881.035946528,820485.862959912,20141795.617744904,356.3272170672158
Brazil,BRA,Reports,43647764.77108485,26.013698630136982,4045881.035946528,820485.862959912,20141795.617744904,72.26150289490678
Brazil,BRA,Infections,43647764.77108485,26.013698630136982,4045881.035946528,820485.862959912,20141795.617744904,1773.9201710187256
Thailand,THA,Symptomatic,10514330.54795646,26.013698630136982,830759.4638011152,157070.62277084208,4115759.501055805,303.73271103385906
Thailand,THA,Reports,10514330.54795646,26.013698630136982,830759.4638011152,157070.62277084208,4115759.501055805,57.42635282140546
Thailand,THA,Infections,10514330.54795646,26.013698630136982,830759.4638011152,157070.62277084208,4115759.501055805,1504.756606081006
South_Africa,ZAF,Symptomatic,20404325.580552775,26.013698630136982,1832604.852182084,300132.8982957081,8819159.565860862,345.25858220364154
South_Africa,ZAF,Reports,20404325.580552775,26.013698630136982,1832604.852182084,300132.8982957081,8819159.565860862,56.54435478268071
South_Africa,ZAF,Infections,20404325.580552775,26.013698630136982,1832604.852182084,300132.8982957081,8819159.565860862,1661.509585283074
