country,country_code,age_group,symptomatic_cases,total_child_adolescent_cases,child_adolescent_population,analysis_years,symptomatic_cases_per_100k_under18,burden_share
Australia,AUS,Infant,292193.4971725417,1513775.9144748875,5829237.508625942,24.000492823261258,208.85199884897688,0.19302295298700167
Australia,AUS,Children,913702.9604259792,1513775.9144748875,5829237.508625942,24.000492823261258,653.0901320042318,0.6035919528703381
Australia,AUS,Adolescent,307879.45687636663,1513775.9144748875,5829237.508625942,24.000492823261258,220.06389805176383,0.20338509414266026
China,CHN,Infant,8112233.31075445,37657011.906167045,175679820.83388674,24.000492823261258,192.3970431126927,0.21542424372301083
China,CHN,Children,22074215.232534006,37657011.906167045,175679820.83388674,24.000492823261258,523.5320012483376,0.5861913655692617
China,CHN,Adolescent,7470563.362878587,37657011.906167045,175679820.83388674,24.000492823261258,177.17861978875723,0.19838439070772743
United_Kingdom,GBR,Infant,380816.32449771586,2783710.235746199,13447104.530519623,24.000492823261258,117.99581835516382,0.13680171147397982
United_Kingdom,GBR,Children,1602077.2319018948,2783710.235746199,13447104.530519623,24.000492823261258,496.4031263517263,0.5755186769546952
United_Kingdom,GBR,Adolescent,800816.6793465879,2783710.235746199,13447104.530519623,24.000492823261258,248.13279618881518,0.28767961157132493
Japan,JPN,Infant,597781.2661556527,3668519.868781451,14587791.962454436,24.000492823261258,170.7389396001021,0.16294889697686546
Japan,JPN,Children,2008920.7254078905,3668519.868781451,14587791.962454436,24.000492823261258,573.7901366542643,0.5476106978466988
Japan,JPN,Adolescent,1061817.8772179077,3668519.868781451,14587791.962454436,24.000492823261258,303.27758440896173,0.28944040517643566
New_Zealand,NZL,Infant,42747.21961898213,273056.3955717858,1069724.8013812131,24.000492823261258,166.50054059648514,0.15655088220683702
New_Zealand,NZL,Children,158879.6941094554,273056.3955717858,1069724.8013812131,24.000492823261258,618.8368552344788,0.581856703179422
New_Zealand,NZL,Adolescent,71429.4818433483,273056.3955717858,1069724.8013812131,24.000492823261258,278.2180325983854,0.26159241461374116
Sweden,SWE,Infant,9809.536380372005,81151.45647596364,1931485.427194368,24.000492823261258,21.16103408981162,0.1208793631852745
Sweden,SWE,Children,42757.51028724578,81151.45647596364,1931485.427194368,24.000492823261258,92.23607494787298,0.5268853098146203
Sweden,SWE,Adolescent,28584.409808345856,81151.45647596364,1931485.427194368,24.000492823261258,61.66200388449079,0.3522353270001052
United_States,USA,Infant,1219512.9634579774,12160855.05088294,70959927.96242604,24.000492823261258,71.60660701638983,0.10028184353446715
United_States,USA,Children,5909071.734685546,12160855.05088294,70959927.96242604,24.000492823261258,346.9652149801565,0.48590923170789024
United_States,USA,Adolescent,5032270.352739417,12160855.05088294,70959927.96242604,24.000492823261258,295.48173438605494,0.4138089247576427
Brazil,BRA,Infant,406800.977414352,4823956.679374499,43150275.91774646,24.000492823261258,39.28061249895626,0.08432931812047285
Brazil,BRA,Children,2167103.688380419,4823956.679374499,43150275.91774646,24.000492823261258,209.25505334178402,0.4492378005064128
Brazil,BRA,Adolescent,2250052.0135797285,4823956.679374499,43150275.91774646,24.000492823261258,217.26452529610714,0.4664328813731144
Thailand,THA,Infant,108767.02604642304,1242012.9909918455,10340519.539477069,24.000492823261258,43.826292698202096,0.08757317905311439
Thailand,THA,Children,537272.7538577573,1242012.9909918455,10340519.539477069,24.000492823261258,216.48723721920246,0.4325822336437098
Thailand,THA,Adolescent,595973.2110876653,1242012.9909918455,10340519.539477069,24.000492823261258,240.1398414466842,0.479844587303176
