country,iso3,source_age_group,target_age_group,all_setting_contacts_per_day,setting_matrix_available,setting_decomposition,structural_sensitivity_caveat,home_contacts_per_day,home_share,school_contacts_per_day,school_share,work_contacts_per_day,work_share,other_contacts_per_day,other_share
Australia,AUS,infant_0_2m,infant_0_2m,0.086662,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.021966,0.25346749440354477,0.038752,0.44716253952135887,0.0,0.0,0.025945,0.29938150515797
Australia,AUS,infant_0_2m,infant_3_11m,0.43331,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.10983,0.2534674944035448,0.193758,0.4471579238882094,0.0,0.0,0.129723,0.2993768895248206
Australia,AUS,infant_0_2m,child_1_4y,2.083394,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.528072,0.25346717903574645,0.931604,0.44715689879110715,0.0,0.0,0.623718,0.2993759221731463
Australia,AUS,infant_0_2m,child_5_9y,1.05034,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.414272,0.3944170459089437,0.281804,0.2682978844945446,0.0,0.0,0.354264,0.3372850695965116
Australia,AUS,infant_0_2m,adolescent_10_17y,0.473718,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.227228,0.47966933914269677,0.043208,0.09121038254826712,0.0,0.0,0.203283,0.4291223892695654
Australia,AUS,infant_0_2m,young_adult_18_39y,3.30127,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,1.96568,0.5954314551672538,0.239928,0.07267748472557531,0.0,0.0,1.095661,0.33189075719344374
Australia,AUS,infant_0_2m,middle_adult_40_64y,1.916087,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.902671,0.4711012600158552,0.310355,0.16197333419620297,0.0,0.0,0.703061,0.3669254057879418
Australia,AUS,infant_0_2m,elderly_65plus,0.530858,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.340758,0.6419004705589818,0.001336,0.002516680543572857,9e-06,1.695368629652374e-05,0.188755,0.35556589521114873
Australia,AUS,infant_3_11m,infant_0_2m,0.086662,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.021966,0.25346749440354477,0.038752,0.44716253952135887,0.0,0.0,0.025945,0.29938150515797
Australia,AUS,infant_3_11m,infant_3_11m,0.43331,True,contactdata_location_specific_8group_matrices,Structural sensitivity illustration only: stochastic household/contact-setting clustering is not calibrated to surveillance and does not replace the deterministic main model.,0.10983,0.2534674944035448,0.193758,0.4471579238882094,0.0,0.0,0.129723,0.2993768895248206
