analysis_window,scenario,median_rank,countries_ranked_first,median_relative_reduction_infant_cases
2025_2029,combined_strategy,1.5,5,0.9492315591768823
2025_2029,next_generation_vaccine,2.0,2,0.9506712364724721
2025_2029,maternal_immunization,3.0,0,0.5283666801595758
2025_2029,cocooning_adjunct,4.5,0,0.46968582628118843
2025_2029,targeted_pep_high_risk,5.0,2,0.26515685793338933
2025_2029,adolescent_booster,6.0,0,0.20191054710757417
2025_2029,pregnancy_tdap_scaleup,7.0,1,0.11643612238677614
2025_2029,higher_child_coverage,8.0,0,0.003847848027710321
2025_2029,resistance_guided_treatment,8.5,0,-0.7912534865648153
2025_2029,current,9.0,0,0.0
2025_2034,combined_strategy,1.0,8,0.9877504550674814
2025_2034,next_generation_vaccine,2.0,2,0.9845539435753412
2025_2034,resistance_guided_treatment,3.0,0,0.7080108053032304
2025_2034,maternal_immunization,4.0,0,0.2469740386324089
2025_2034,cocooning_adjunct,5.0,0,0.14923595584978072
2025_2034,pregnancy_tdap_scaleup,6.0,0,0.10343085564679033
2025_2034,targeted_pep_high_risk,7.0,0,0.06905212112996206
2025_2034,adolescent_booster,8.0,0,0.029782228793276633
2025_2034,current,9.0,0,0.0
2025_2034,higher_child_coverage,10.0,0,-0.0021719719938760873
2025_2039,combined_strategy,1.0,7,0.9817456432516352
2025_2039,next_generation_vaccine,2.0,3,0.9760951731977492
2025_2039,resistance_guided_treatment,3.0,0,0.5093864045575024
2025_2039,maternal_immunization,4.0,0,0.25682187321193484
2025_2039,cocooning_adjunct,5.0,0,0.15762588252412912
2025_2039,pregnancy_tdap_scaleup,6.0,0,0.10323479432899957
2025_2039,targeted_pep_high_risk,7.0,0,0.06272422712648323
2025_2039,adolescent_booster,8.0,0,0.01220189378283204
2025_2039,current,9.0,0,0.0
2025_2039,higher_child_coverage,10.0,0,-0.0019329018153801947
2025_2050_full_horizon,combined_strategy,1.0,8,0.9825307957697391
2025_2050_full_horizon,next_generation_vaccine,2.0,2,0.9468470472179575
2025_2050_full_horizon,resistance_guided_treatment,3.0,0,0.5524280764443985
2025_2050_full_horizon,maternal_immunization,4.0,0,0.2483996050706367
2025_2050_full_horizon,cocooning_adjunct,5.0,0,0.14997668722542512
2025_2050_full_horizon,pregnancy_tdap_scaleup,6.0,0,0.10404395904934938
2025_2050_full_horizon,targeted_pep_high_risk,7.0,0,0.06361402116622239
2025_2050_full_horizon,adolescent_booster,8.0,0,0.0022043890684966816
2025_2050_full_horizon,current,9.0,0,0.0
2025_2050_full_horizon,higher_child_coverage,10.0,0,-0.002686473546171353
2030_2050_excluding_initial_transient,combined_strategy,1.0,8,0.982869671645584
2030_2050_excluding_initial_transient,next_generation_vaccine,2.0,2,0.9494163170920162
2030_2050_excluding_initial_transient,resistance_guided_treatment,3.0,0,0.5484303793338348
2030_2050_excluding_initial_transient,maternal_immunization,4.0,0,0.21656935755785756
2030_2050_excluding_initial_transient,cocooning_adjunct,5.5,0,0.11363646450263454
2030_2050_excluding_initial_transient,pregnancy_tdap_scaleup,5.5,0,0.10490325905150855
2030_2050_excluding_initial_transient,targeted_pep_high_risk,7.0,0,0.055229301951481624
2030_2050_excluding_initial_transient,current,8.0,0,0.0
2030_2050_excluding_initial_transient,adolescent_booster,9.0,0,-0.0012521078660538976
2030_2050_excluding_initial_transient,higher_child_coverage,9.5,0,-0.0038865212042111796
