ordering_basis,strategy,strategy_label,primary_case_metric,country_count,effective_country_weight_sum,weighted_median_primary_case_reduction,weighted_iqr_primary_case_reduction,weighted_median_primary_cases_per_100k,strategy_rank_within_basis
age_data_profiles_unweighted,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,4,4.0,0.4090064116858583,0.3674 to 0.4261,279.11329713350756,1.0
age_data_profiles_unweighted,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,4,4.0,0.407986079816941,0.369 to 0.6949,202.46467656147132,2.0
age_data_profiles_unweighted,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,4,4.0,0.25291933594721216,0.1384 to 0.2611,533.4549143819595,3.0
age_data_profiles_unweighted,timeliness_only,Routine timeliness,child_adolescent_0_17y,4,4.0,0.14663998333584904,0.1459 to 0.1539,609.3439658269568,4.0
age_data_profiles_unweighted,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,4,4.0,0.1278912150215169,0.1113 to 0.2011,570.4349637667533,5.0
age_data_profiles_unweighted,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,4,4.0,0.04426937073392878,0.02313 to 0.103,682.4419711809376,6.0
age_data_profiles_unweighted,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,4,4.0,0.032691760717525,0.003974 to 0.09344,690.7089940838513,7.0
age_data_profiles_unweighted,targeted_pep_high_risk,Targeted high-risk PEP,child_adolescent_0_17y,4,4.0,0.021201026361728492,0.009624 to 0.04444,698.9139831926634,8.0
age_data_profiles_unweighted,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,child_adolescent_0_17y,4,4.0,0.015867268056825812,0.01297 to 0.01972,704.7882680925351,9.0
age_data_profiles_unweighted,current,Current practice,child_adolescent_0_17y,4,4.0,0.0,0 to 0,714.0526318644839,10.0
age_data_profiles_unweighted,adolescent_booster,Adolescent booster,child_adolescent_0_17y,4,4.0,-0.00021292579027121228,-0.005098 to -8.083e-06,714.2046720854189,11.0
age_data_profiles_unweighted,higher_child_coverage,Nominal coverage floor,child_adolescent_0_17y,4,4.0,-0.00499882461882839,-0.0273 to -0.002502,717.6220557397874,12.0
age_pattern_pass_filter,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,1,1.0,0.7164569283460103,0.7165 to 0.7165,202.46467656147132,1.0
age_pattern_pass_filter,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,1,1.0,0.6091138318407894,0.6091 to 0.6091,279.11329713350756,2.0
age_pattern_pass_filter,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,1,1.0,0.25291933594721216,0.2529 to 0.2529,533.4549143819595,3.0
