country,strategy,strategy_label,primary_case_metric,infant_0_11m_cases_per_100k,infant_0_11m_rank,child_1_9y_cases_per_100k,child_1_9y_rank,adolescent_10_17y_cases_per_100k,adolescent_10_17y_rank,child_adolescent_0_17y_cases_per_100k,child_adolescent_0_17y_rank,rank_shift_child_adolescent_vs_infant
Australia,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,1473.722948966185,1.0,713.9712667676008,1.0,464.002123250842,1.0,640.2852503454919,1.0,0.0
Australia,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,1914.2993465562713,2.0,725.3417352489205,2.0,497.79750767708606,10.0,683.8554555166078,2.0,0.0
Australia,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,2512.4653701641582,3.0,1023.5101600572248,3.0,522.3346896246495,12.0,874.0082651717133,3.0,0.0
Australia,timeliness_only,Routine timeliness,child_adolescent_0_17y,3003.899516835897,4.0,1126.809207855284,4.0,475.20560932903504,2.0,929.4317832502815,4.0,0.0
Australia,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,3204.458926394353,5.0,1145.8583746487986,5.0,502.1404959046419,11.0,961.3557617213829,5.0,0.0
Australia,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,3549.8855208429213,6.0,1311.0588165357944,8.0,492.55045807838314,9.0,1056.970993715142,6.0,0.0
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,child_adolescent_0_17y,3633.7596130243796,7.0,1310.7152200567389,7.0,491.57191970251546,8.0,1060.673929447258,7.0,0.0
Australia,targeted_pep_high_risk,Targeted high-risk PEP,child_adolescent_0_17y,3981.736847658984,9.0,1299.7794943188874,6.0,486.81381229761206,3.0,1070.991304740518,8.0,-1.0
Australia,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,3962.3382051635217,8.0,1313.421812540196,11.0,488.95283543949836,7.0,1077.7438855805187,9.0,1.0
Australia,current,Current practice,child_adolescent_0_17y,4059.3289461045624,11.0,1313.0242007523798,10.0,487.7775236979825,5.0,1082.0060289049727,10.0,-1.0
Australia,adolescent_booster,Adolescent booster,child_adolescent_0_17y,4059.3263517877654,10.0,1313.0232770060518,9.0,487.7983489352908,6.0,1082.014831398767,11.0,1.0
Australia,higher_child_coverage,Nominal coverage floor,child_adolescent_0_17y,4065.964309499191,12.0,1318.1298019864469,12.0,487.3449932647334,4.0,1084.691773269401,12.0,0.0
Brazil,combined_strategy,Combined future stress-test profile,child_adolescent_0_17y,45.80775944994346,1.0,29.809898776752657,1.0,34.223102348351524,1.0,32.651828578152326,1.0,0.0
Brazil,next_generation_vaccine,High-transmission-blocking vaccine target,child_adolescent_0_17y,262.1790060474902,2.0,125.05301158821642,2.0,182.44716716722252,2.0,158.5432759329141,2.0,0.0
Brazil,resistance_guided_treatment,Resistance-guided management,child_adolescent_0_17y,469.23776729077383,3.0,266.78534564111766,3.0,320.0620343412795,3.0,301.5495315925536,3.0,0.0
Brazil,transmission_blocking_vaccine,Transmission-blocking vaccine target,child_adolescent_0_17y,544.7533131321038,5.0,287.1224987159356,4.0,361.81261790688404,4.0,334.57821840015606,4.0,-1.0
Brazil,timeliness_only,Routine timeliness,child_adolescent_0_17y,536.4989578713114,4.0,319.10322061242255,5.0,386.8313111233548,5.0,361.34105541568994,5.0,1.0
Brazil,maternal_immunization,Infant-exposure package,child_adolescent_0_17y,598.7924322756955,6.0,377.4087264610547,6.0,422.1525958855486,7.0,409.11706758774847,6.0,0.0
Brazil,cocooning_adjunct,Close-contact adult adjunct,child_adolescent_0_17y,656.5039841958362,7.0,379.54847506138816,7.0,423.2986777740478,8.0,413.51132671061646,7.0,0.0
