country,scenario,contact_assumption,contact_shock_applied,routine_delivery_delay_applied,routine_delivery_delay_reduction,timeliness_recovery_applied,annualized_child_adolescent_cases_per_100k,annualized_infant_cases_per_100k,annualized_infections_per_100k,resistant_fraction_end,implementation_note,child_adolescent_cases_reference,infant_cases_reference,total_infections_reference,child_adolescent_cases_delayed_recovery,infant_cases_delayed_recovery,total_infections_delayed_recovery,relative_change_child_adolescent_cases_vs_no_shock,relative_reduction_child_adolescent_cases_vs_delayed_recovery,relative_change_infant_cases_vs_no_shock,relative_reduction_infant_cases_vs_delayed_recovery,relative_change_total_infections_vs_no_shock,relative_reduction_total_infections_vs_delayed_recovery
Australia,no_shock_current_delivery,none,False,False,,False,258.16810112487786,1533.8470551199305,385.27892025916896,0.05364322568596123,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.,258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,0.0,,0.0,,0.0,
Australia,npi_contact_shock_only,mean,True,False,,False,258.16810112487786,1533.8470551199305,385.27892025916896,0.05364322568596123,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged.",258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,0.0,,0.0,,0.0,
Australia,routine_delay_only,none,False,True,0.25,False,258.16810112487786,1533.8470551199305,385.27892025916896,0.05364322568596123,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction.",258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,0.0,,0.0,,0.0,
Australia,combined_shock_delayed_recovery,mean,True,True,0.25,False,258.16810112487786,1533.8470551199305,385.27892025916896,0.05364322568596123,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.,258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,0.0,0.0,0.0,0.0,0.0,0.0
Australia,combined_shock_timeliness_recovery,mean,True,True,0.25,True,246.745555903052,1425.1640598517224,380.19471499891307,0.04830692607594004,Combined historical COVID-19 shock with routine-timeliness recovery carried into prospective policy t0.,258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,-0.04424460331100577,0.04424460331100577,-0.07085647483914892,0.07085647483914892,-0.013196167744749299,0.013196167744749299
Australia,baseline_screened_contact_shock,baseline_screened,True,False,,False,258.16810112487786,1533.8470551199305,385.27892025916896,0.05364322568596123,Submitted baseline contact-reduction setting after calibration-screening country peak timing.,258.16810112487786,1533.8470551199305,385.27892025916896,258.16810112487786,1533.8470551199305,385.27892025916896,0.0,,0.0,,0.0,
China,no_shock_current_delivery,none,False,False,,False,53.62343491150559,533.5715471189939,115.60412210665633,0.9973809773078959,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.,53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,0.0,,0.0,,0.0,
China,npi_contact_shock_only,mean,True,False,,False,53.62343491150559,533.5715471189939,115.60412210665633,0.9973809773078959,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged.",53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,0.0,,0.0,,0.0,
China,routine_delay_only,none,False,True,0.25,False,53.62343491150559,533.5715471189939,115.60412210665633,0.9973809773078959,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction.",53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,0.0,,0.0,,0.0,
China,combined_shock_delayed_recovery,mean,True,True,0.25,False,53.62343491150559,533.5715471189939,115.60412210665633,0.9973809773078959,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.,53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,0.0,0.0,0.0,0.0,0.0,0.0
China,combined_shock_timeliness_recovery,mean,True,True,0.25,True,49.4570373923421,468.69345231938513,112.50432491737821,0.9972366308263019,Combined historical COVID-19 shock with routine-timeliness recovery carried into prospective policy t0.,53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,-0.07769732629100068,0.07769732629100068,-0.12159211852640261,0.12159211852640261,-0.026813898438831196,0.026813898438831196
China,baseline_screened_contact_shock,baseline_screened,True,False,,False,53.62343491150559,533.5715471189939,115.60412210665633,0.9973809773078959,Submitted baseline contact-reduction setting after calibration-screening country peak timing.,53.62343491150559,533.5715471189939,115.60412210665633,53.62343491150559,533.5715471189939,115.60412210665633,0.0,,0.0,,0.0,
United_Kingdom,no_shock_current_delivery,none,False,False,,False,12.29993910837864,29.699160692063536,27.440194303290514,0.048779326153075314,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.,12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,0.0,,0.0,,0.0,
United_Kingdom,npi_contact_shock_only,mean,True,False,,False,12.29993910837864,29.699160692063536,27.440194303290514,0.048779326153075314,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged.",12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,0.0,,0.0,,0.0,
United_Kingdom,routine_delay_only,none,False,True,0.25,False,12.29993910837864,29.699160692063536,27.440194303290514,0.048779326153075314,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction.",12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,0.0,,0.0,,0.0,
United_Kingdom,combined_shock_delayed_recovery,mean,True,True,0.25,False,12.29993910837864,29.699160692063536,27.440194303290514,0.048779326153075314,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.,12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,0.0,0.0,0.0,0.0,0.0,0.0
United_Kingdom,combined_shock_timeliness_recovery,mean,True,True,0.25,True,6.851312736938972,12.893253773290121,17.005994494474436,0.02145385547948817,Combined historical COVID-19 shock with routine-timeliness recovery carried into prospective policy t0.,12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,-0.442979946764785,0.442979946764785,-0.5658714430695826,0.5658714430695826,-0.3802524024971956,0.3802524024971956
United_Kingdom,baseline_screened_contact_shock,baseline_screened,True,False,,False,12.29993910837864,29.699160692063536,27.440194303290514,0.048779326153075314,Submitted baseline contact-reduction setting after calibration-screening country peak timing.,12.29993910837864,29.699160692063536,27.440194303290514,12.29993910837864,29.699160692063536,27.440194303290514,0.0,,0.0,,0.0,
