country,strategy,total_infections,reported_cases,total_infant_cases,resistant_infections,relative_reduction_infant_cases,relative_reduction_total_infections
Australia,current,14180297.251194416,355034.52532319934,292628.15583341796,13561305.489764985,0.0,0.0
Australia,higher_child_coverage,14175072.42397632,355858.3609743938,293136.0170579745,13556119.235644288,-0.0017355172919368833,0.00036845681903141525
Australia,adolescent_booster,14180293.368353054,355035.1828590708,292627.9978376905,13561299.528057722,5.399197728905847e-07,2.7381946177129635e-07
Australia,pregnancy_tdap_scaleup,14171148.328498604,340139.977932984,261867.84257913698,13548352.703257494,0.10511740801794767,0.0006451855369280501
Australia,cocooning_adjunct,14175712.038605321,352058.6474792661,285600.57803087385,13556977.86315594,0.024015384926065142,0.0003233509501154863
Australia,maternal_immunization,14165474.39689339,337607.05951348494,255812.6656497597,13542931.821731316,0.12580980144855203,0.0010453133695612626
Australia,targeted_pep_high_risk,14067117.919266224,350495.56368502346,287286.3260535062,13650061.741663877,0.01825466782134466,0.007981449889469583
Australia,maternal_direct_antibody_only,14171148.328498604,340139.977932984,261867.84257913698,13548352.703257494,0.10511740801794767,0.0006451855369280501
Australia,maternal_adult_boosting_only,14179915.179190427,355012.7470561111,292613.74624301266,13560956.18044296,4.924198207878483e-05,2.6943864237849446e-05
Australia,maternal_cocooning_only,14176114.335608631,352080.02475714346,285613.1778464746,13557346.800495107,0.02397232749857725,0.0002949808111696317
Australia,resistance_guided_treatment,13232650.734684963,303741.2023144543,230938.71860716783,10739386.082544407,0.2108116939416027,0.0668283957467557
Australia,transmission_blocking_vaccine,13231959.97812057,288387.82586393604,204389.0472074015,12747900.464511378,0.3015400496056422,0.06687710816456738
Australia,next_generation_vaccine,10617354.421360552,209329.62591286545,138020.6176739036,10232535.345130743,0.5283412927890867,0.25126009467352695
Australia,combined_strategy,10042748.671451611,185814.04187756107,106243.20777900497,9524961.027496494,0.6369344314240043,0.291781512506326
China,current,197707713.68597832,7781122.161168232,1621127.947484518,197679249.04261792,0.0,0.0
China,higher_child_coverage,198317151.24321547,7827947.032068107,1628181.0748663691,198288716.91135186,-0.00435075306227084,-0.0030825178536286746
China,adolescent_booster,199440858.11902052,7831931.7670998415,1633995.1673238396,199412422.9575398,-0.007937201908885472,-0.008766195312920333
China,pregnancy_tdap_scaleup,197237443.90916413,7545232.476689577,1402987.7593776882,197209008.84276095,0.13456074731504997,0.0023786111732652104
China,cocooning_adjunct,187252418.8607438,7166290.374714678,1462963.010003956,187224073.5912557,0.09756474664814974,0.052882584246767506
China,maternal_immunization,186719066.01532826,6949243.580418706,1266241.2474557306,186690752.05914956,0.21891344269245383,0.05558026778916414
China,targeted_pep_high_risk,193159780.76912883,7583521.683444481,1568364.6895119932,193137593.48196548,0.032547250853578014,0.023003315510860767
China,maternal_direct_antibody_only,197237443.90916413,7545232.476689577,1402987.7593776882,197209008.84276095,0.13456074731504997,0.0023786111732652104
China,maternal_adult_boosting_only,187458049.45724142,7220413.521688632,1511532.5628229987,187429678.19101235,0.0676044015104279,0.05184251053055311
China,maternal_cocooning_only,197515999.88051468,7719877.003486527,1564544.3908390224,197487560.1073001,0.034903819117606094,0.0009696829824664688
China,resistance_guided_treatment,146128830.5770219,5473584.759325429,1019631.9167516857,146083174.0979756,0.3710355075095494,0.260884525683605
China,transmission_blocking_vaccine,171851471.5167023,6156983.449310053,1087733.7963234917,171827143.22752428,0.3290265595560712,0.13078013845399994
China,next_generation_vaccine,16636887.384960745,732861.8003960033,185172.86365175073,16616538.309490466,0.8857752937150452,0.9158510961722752
China,combined_strategy,8269233.001430722,438429.3717745744,115783.62522460347,8248945.9218637915,0.9285783547163792,0.958174454363653
United_Kingdom,current,36334232.41308918,300981.7324854618,412572.4774568976,35307121.398286134,0.0,0.0
United_Kingdom,higher_child_coverage,36891369.76061617,308954.4807861437,422965.92249039025,35858104.98661582,-0.025191804110535898,-0.01533367599988944
United_Kingdom,adolescent_booster,36464045.83146094,302338.69219792326,414633.2818051503,35433339.475432575,-0.004995011690928974,-0.003572757968185236
United_Kingdom,pregnancy_tdap_scaleup,35685062.16611418,285620.4370703985,360504.2607723028,34645627.247833356,0.12620380546357335,0.017866628902311388
United_Kingdom,cocooning_adjunct,32585427.794328302,259585.54392446106,345842.19782740483,31720677.08066152,0.16174195632442367,0.1031755556616738
United_Kingdom,maternal_immunization,32561625.085519835,251508.6133597359,309215.7783983348,31690599.87522833,0.25051767799843294,0.10383065987683515
United_Kingdom,targeted_pep_high_risk,34448824.82851854,282574.6788739269,382597.1590394386,34240318.850460686,0.07265467294916839,0.05189066781802809
United_Kingdom,maternal_direct_antibody_only,35685062.16611418,285620.4370703985,360504.2607723028,34645627.247833356,0.12620380546357335,0.017866628902311388
United_Kingdom,maternal_adult_boosting_only,32597857.97184236,261822.38059788276,357395.5157773044,31733307.599700928,0.1337388330402085,0.1028334491497559
United_Kingdom,maternal_cocooning_only,36086249.518408775,295990.46342165326,394764.4629121646,35057064.66601056,0.04316336042215374,0.006825048396813527
United_Kingdom,resistance_guided_treatment,28606050.217089444,224028.01857111556,286291.48031119665,21592072.093566038,0.30608197115837377,0.2126969990211134
United_Kingdom,transmission_blocking_vaccine,30079620.863357775,222647.00453235058,269017.5645022777,29335296.950310126,0.34795077422394816,0.17214101232748813
United_Kingdom,next_generation_vaccine,25321534.723724112,175251.3891201135,197178.4203332262,24470761.43718697,0.5220756809842559,0.30309427110390286
United_Kingdom,combined_strategy,13471553.140186619,85556.45078809434,80036.85950416635,12704574.257518902,0.8060053351170814,0.6292324828270329
Japan,current,60712053.67476191,820237.6203451084,597403.6217839075,60605682.430340305,0.0,0.0
Japan,higher_child_coverage,60844265.97902411,824136.0895278654,598955.4773663555,60737359.38040085,-0.00259766684676932,-0.0021776944817328836
Japan,adolescent_booster,60780851.308426954,821211.8733150843,597765.7071241825,60674026.26122761,-0.00060609833464631,-0.0011331791547291026
Japan,pregnancy_tdap_scaleup,60392606.95180336,779569.2000522566,506824.4710941093,60285131.27186007,0.15162136181786068,0.005261668871717862
Japan,cocooning_adjunct,61566909.308642276,819295.4589686426,595204.3288145483,61476203.92282814,0.003681418875218556,-0.014080492787476251
Japan,maternal_immunization,61678824.24011865,783377.5353290589,506389.25730362063,61584968.64449428,0.15234987060926886,-0.015923865309116048
Japan,targeted_pep_high_risk,59351786.69361444,800635.9227856628,582985.3596569573,59324575.08603131,0.02413487565391015,0.022405221019774824
Japan,maternal_direct_antibody_only,60392606.95180336,779569.2000522566,506824.4710941093,60285131.27186007,0.15162136181786068,0.005261668871717862
Japan,maternal_adult_boosting_only,61501351.78158617,823849.4398914349,609607.0297734425,61411254.03095263,-0.020427408781176215,-0.013000682056524937
Japan,maternal_cocooning_only,60624856.856888995,813816.8723850292,581920.2836151902,60518524.64937793,0.025917717275436902,0.001436235682950815
Japan,resistance_guided_treatment,54990948.40595877,699909.3871383998,469248.18868117424,54342842.09048468,0.21452068321924167,0.09423343343731116
Japan,transmission_blocking_vaccine,58310147.42834249,724831.296762184,466474.1957332694,58218109.03382566,0.21916409823507543,0.039562263192192026
Japan,next_generation_vaccine,49816843.182713136,576943.0022692471,355701.33556065336,49738516.57463787,0.40458791579051157,0.17945712313431317
Japan,combined_strategy,39705701.49185118,419830.3217204908,210706.36452228576,39622987.711935356,0.6472964728718997,0.3459996971185164
New_Zealand,current,3403585.448951683,91460.34132007265,61499.526012152215,3305726.045822205,0.0,0.0
New_Zealand,higher_child_coverage,3402856.85194798,91824.09382231205,61608.877546634176,3304381.0018928405,-0.0017780874353463538,0.0002140674928339248
New_Zealand,adolescent_booster,3403555.494934791,91461.02537309207,61499.41089562034,3305672.932515,1.8718279527485393e-06,8.800724219049094e-06
New_Zealand,pregnancy_tdap_scaleup,3398631.7661408545,87583.79685076317,54764.89102931321,3300007.0409635473,0.10950710386789408,0.0014554307171439351
New_Zealand,cocooning_adjunct,3403171.929508154,90770.09616541967,60079.9607622778,3305283.5059490306,0.023082539686467007,0.00012149524368676445
New_Zealand,maternal_immunization,3397709.158648298,86982.54692854726,53517.008416890414,3299054.005576904,0.12979803443825677,0.0017265000075713521
New_Zealand,targeted_pep_high_risk,3396946.2988568386,90667.51800729784,60522.92879754759,3381351.4781807153,0.015879751892911353,0.0019506341751722722
New_Zealand,maternal_direct_antibody_only,3398631.7661408545,87583.79685076317,54764.89102931321,3300007.0409635473,0.10950710386789408,0.0014554307171439351
New_Zealand,maternal_adult_boosting_only,3403498.516376336,91453.78301492572,61496.741736587144,3305701.186339911,4.527312234114955e-05,2.554146991484707e-05
New_Zealand,maternal_cocooning_only,3403268.77988726,90776.60501139931,60082.29466535184,3305319.578523402,0.023044589750502054,9.30398455313286e-05
New_Zealand,resistance_guided_treatment,3085605.555413628,76593.84549384078,47392.590415557876,2444022.439963966,0.22938283449220132,0.09342497736790889
New_Zealand,transmission_blocking_vaccine,2973647.1606889134,69452.49457314357,39650.113100122086,2919627.5058517475,0.3552777448677038,0.12631922856386413
New_Zealand,next_generation_vaccine,2346923.807426166,49982.37312881164,26882.008409798844,2302734.848764086,0.56289080334559,0.3104554468732298
New_Zealand,combined_strategy,2378030.855614211,47518.070361459526,21761.72578127613,2313009.086408181,0.6461480731253759,0.30131595304984826
Sweden,current,1132204.4264410373,32980.97628863074,9813.018514896903,169405.27169412596,0.0,0.0
Sweden,higher_child_coverage,1086441.420412764,31970.549449698818,9585.176785201429,123820.07136906582,0.02321831242339889,0.04041938448529514
Sweden,adolescent_booster,1128481.4965703685,32902.48239558402,9795.950011689987,165766.95044527194,0.0017393733825127322,0.003288213491949854
Sweden,pregnancy_tdap_scaleup,1121564.2450907626,32293.98830800433,9162.025369471947,159668.75149201427,0.066339744945625,0.009397756360766896
Sweden,cocooning_adjunct,1022451.5578298654,30483.455792711866,9010.902755688781,63201.76154648076,0.08173996186702892,0.09693732514027376
Sweden,maternal_immunization,1018491.2209836245,29992.711138353836,8464.24135702105,60203.21778587646,0.13744773392899523,0.10043522424201967
Sweden,targeted_pep_high_risk,1022718.8176542334,30640.243487827414,8841.449817250927,260774.78123650048,0.0990081386447057,0.09670127251750826
